participant_id,treatment,image_id,entropy,albox_mean,iou,change_size,changed
52,baseline,530,2.975463867187e-4,0.7813749999999999,1,0,0
52,baseline,530,0.114501953125,3.78125,0.97,0.03,1
52,baseline,530,0.0122451782226562,2.401625,0.669588,0.330412,1
52,baseline,530,0.436767578125,3.70655,0.548169,0.451831,1
52,baseline,258,0.123291015625,0.929075,1,0,0
52,baseline,258,4.631280899047852e-5,1.135775,0.8184,0.1816,1
52,baseline,258,7.337331771850586e-5,0.9381,0.817,0.183,1
52,baseline,258,1.702308654785e-4,1.061775,0.962907,0.037093,1
52,baseline,258,0.246337890625,1.9219,0.847458,0.152542,1
52,baseline,245,6.794929504394531e-5,2.103025,0.859528,0.140472,1
52,baseline,245,0.4501953125,1.12355,1,0,0
52,baseline,245,6.735324859619141e-6,1.286875,0.874192,0.125808,1
52,baseline,245,0.0023708343505859,1.35415,0.9021,0.0979,1
52,baseline,245,1.447200775146e-4,0.8941250000000001,0.99109100000000006,0.008909,0
52,baseline,216,1.3709068298339844e-6,0.581325,0.878947,0.121053,1
52,baseline,216,2.7418136596679688e-06,1.2356,0.870545,0.129455,1
52,baseline,216,2.157688140869141e-5,0.66835,0.860967,0.139033,1
52,baseline,216,4.365444183349e-4,0.742925,1,0,0
52,baseline,216,0.24365234375,0.856325,0.94,0.06,1
52,baseline,961,2.5510787963867188e-05,2.992425,0.776199,0.223801,1
52,baseline,961,0.178955078125,5.06055,0.999974,2.6e-5,0
52,baseline,961,0.05340576171875,2.25245,0.870019,0.129981,1
52,baseline,961,0.025299072265625,1.610075,1,0,0
52,baseline,961,0.07635498046875,2.011975,1,0,0
52,baseline,961,0.15576171875,1.855725,1,0,0
52,baseline,961,1.45673751831e-4,1.5598,0.864912,0.135088,1
52,baseline,793,-0,0.541075,0.862465,0.137535,1
52,baseline,793,5.955696105957e-4,0.604525,1,0,0
52,baseline,793,3.645420074462e-4,0.5516249999999999,0.936853,0.063147,1
52,baseline,793,6.351470947265e-4,1.3092,0.944474,0.055526,1
52,baseline,793,0.1417236328125,0.74915,0.97,0.03,1
52,baseline,341,0.0022811889648437,1.58325,0.9215,0.0785,1
52,baseline,341,0.055938720703125,5.550050000000001,1,0,0
52,baseline,341,0.024932861328125,3.990725,1,0,0
52,baseline,341,0.01025390625,3.019025,0.6499,0.3501,1
52,baseline,341,0.008697509765625,2.55785,1,0,0
52,baseline,341,0.0301971435546875,2.67385,1,0,0
52,baseline,341,0.0050086975097656,3.1640749999999995,0.78,0.22,1
52,baseline,341,2.541542053222e-4,3.272475,0.71,0.29,1
52,baseline,787,0.880859375,3.197275,0.999974,2.6e-5,0
52,baseline,787,5.835294723510742e-5,0.8971,0.883185,0.116815,1
52,baseline,787,2.866983413696289e-5,0.613575,0.975955,0.024045,1
52,baseline,787,-0,0.482,0.943377,0.056623,1
52,baseline,787,0.45703125,1.029775,1,0,0
52,baseline,787,5.364418029785156e-6,0.51015,0.895811,0.104189,1
52,baseline,787,0.014923095703125,1.5224749999999998,1,0,0
52,baseline,420,1.378059387207e-4,1.0539999999999998,0.950595,0.049405,1
